Structure Position, Actual Response
Line A: Structure Position, Actual Response - Global RX (SHIP) [°]
Line B: Structure Position, Actual Response - Global RY (SHIP) [°]
Line C: Structure Position, Actual Response - Global RZ (SHIP) [°]

*Time (s),Line A (°),Line B (°),Line C (°)
0.0,-9.07678031921387,4.5632381439209,-0.35706040263176
0.5,-9.07707118988037,4.59067869186401,-0.362416058778763
1,-9.07716369628906,4.66148614883423,-0.376106977462769
1.5,-9.07569408416748,4.75056934356689,-0.393630683422089
2,-9.07126808166504,4.82733249664307,-0.410137832164764
2.5,-9.06286525726318,4.86289739608765,-0.421492427587509
3,-9.0502233505249,4.83703660964966,-0.425011575222015
3.5,-9.03408241271973,4.74312734603882,-0.419751226902008
4,-9.01617050170898,4.58987712860107,-0.406362384557724
4.5,-8.99895668029785,4.39942693710327,-0.386653304100037
5,-8.98523426055908,4.20250082015991,-0.363144814968109
5.5,-8.97762584686279,4.03201389312744,-0.338584154844284
6,-8.97815990447998,3.91665983200073,-0.315526902675629
6.5,-8.98787879943848,3.87572312355042,-0.296040385961533
7,-9.00662517547607,3.91593074798584,-0.281465262174606
7.5,-9.03293323516846,4.03065586090088,-0.272308737039566
8,-9.06418991088867,4.2014856338501,-0.268279373645782
8.5,-9.09695625305176,4.40189743041992,-0.268408834934235
9,-9.1274881362915,4.60235261917114,-0.271176964044571
9.5,-9.15234470367432,4.77567625045776,-0.274699062108994
10,-9.16897964477539,4.90145921707153,-0.27702060341835
10.5,-9.17603492736816,4.96858596801758,-0.276476800441742
11,-9.17331600189209,4.97572565078735,-0.272048264741898
11.5,-9.16142463684082,4.93005418777466,-0.263575255870819
12,-9.14132022857666,4.84488296508789,-0.25170424580574
12.5,-9.1140832901001,4.73685598373413,-0.237589091062546
13,-9.08100700378418,4.62317419052124,-0.222577095031738
13.5,-9.04388427734375,4.51922225952148,-0.208021491765976
14,-9.00512504577637,4.43649101257324,-0.19511216878891
14.5,-8.96760082244873,4.38111591339111,-0.18470324575901
15,-8.93426990509033,4.35379838943481,-0.177213162183762
15.5,-8.9078254699707,4.35108137130737,-0.172525107860565
16,-8.8905553817749,4.36716651916504,-0.169947683811188
16.5,-8.88427257537842,4.39580011367798,-0.168361440300941
17,-8.89027500152588,4.43183183670044,-0.166508182883263
17.5,-8.90921688079834,4.47213792800903,-0.163232788443565
18,-8.94094181060791,4.51558971405029,-0.157688677310944
