Structure Position, Actual Response
Line A: Structure Position, Actual Response - Global RX (SHIP) [°]
Line B: Structure Position, Actual Response - Global RY (SHIP) [°]
Line C: Structure Position, Actual Response - Global RZ (SHIP) [°]

*Time (s),Line A (°),Line B (°),Line C (°)
0.0,-9.25025081634521,2.29488492012024,-0.184101387858391
0.5,-9.25041484832764,2.32289171218872,-0.189659282565117
1,-9.25027942657471,2.39545607566834,-0.203960329294205
1.5,-9.24884605407715,2.4873948097229,-0.222504734992981
2,-9.24516296386719,2.56780529022217,-0.240358874201775
2.5,-9.23851680755615,2.60728788375854,-0.253239452838898
3,-9.22868347167969,2.58484125137329,-0.258309066295624
3.5,-9.21606826782227,2.49288153648376,-0.25447079539299
4,-9.20172786712647,2.33915686607361,-0.242234095931053
4.5,-9.18725681304932,2.14512729644775,-0.22332039475441
5,-9.17456912994385,1.94137024879456,-0.200181260704994
5.5,-9.16564464569092,1.76130068302155,-0.1755351126194
6,-9.16226196289063,1.63471722602844,-0.151974156498909
6.5,-9.16571998596191,1.58251440525055,-0.131637990474701
7,-9.17657661437988,1.6133759021759,-0.11597140878439
7.5,-9.19447422027588,1.7227748632431,-0.105613119900227
8,-9.21810436248779,1.89421355724335,-0.100434117019176
8.5,-9.24528312683105,2.10246920585632,-9.95878204703331E-02
9,-9.27327346801758,2.31825375556946,-0.101696603000164
9.5,-9.29919815063477,2.51332974433899,-0.104970574378967
10,-9.32053565979004,2.6649284362793,-0.107501603662968
10.5,-9.33540916442871,2.75857615470886,-0.107607707381248
11,-9.34265804290771,2.7890362739563,-0.104183107614517
11.5,-9.34163665771484,2.75958180427551,-9.69422981142998E-02
12,-9.33195018768311,2.68019962310791,-8.63584950566292E-02
12.5,-9.31346797943115,2.56539058685303,-7.34427869319916E-02
13,-9.28660869598389,2.43202567100525,-5.94620183110237E-02
13.5,-9.25274848937988,2.2971818447113,-4.57489863038063E-02
14,-9.21436214447021,2.17584347724915,-3.35253588855267E-02
14.5,-9.17479038238525,2.07897257804871,-2.36811321228743E-02
15,-9.13771724700928,2.01282143592834,-1.66777390986681E-02
15.5,-9.10660457611084,1.97951579093933,-1.24188791960478E-02
16,-9.0843505859375,1.97810280323029,-1.02713871747255E-02
16.5,-9.07308197021484,2.00555610656738,-9.13500972092152E-03
17,-9.07405662536621,2.0576319694519,-7.73007934913039E-03
17.5,-9.0875825881958,2.12944579124451,-4.83765825629234E-03
18,-9.11304759979248,2.21562623977661,4.86719916807488E-04
18.5,-9.14890289306641,2.3100848197937,8.8076600804925E-03
19,-9.192702293396,2.4055860042572,2.02258843928576E-02
19.5,-9.24116516113281,2.49346947669983,3.43490242958069E-02
20,-9.29028415679932,2.56399035453796,5.03382571041584E-02
20.5,-9.33559799194336,2.60764098167419,6.71167746186256E-02
21,-9.37272167205811,2.61697483062744,8.35190638899803E-02
21.5,-9.3979663848877,2.58803176879883,9.84783247113228E-02
22,-9.40889930725098,2.52074599266052,0.111169621348381
22.5,-9.40455055236816,2.41876912117004,0.121025867760181
23,-9.38539218902588,2.28956532478333,0.127751588821411
23.5,-9.3530740737915,2.14457726478577,0.131338879466057
24,-9.3101921081543,1.99878716468811,0.13212862610817
24.5,-9.26003170013428,1.86945390701294,0.130819663405418
25,-9.20635986328125,1.77415120601654,0.128354445099831
25.5,-9.15321636199951,1.7284187078476,0.125754252076149
26,-9.10474300384521,1.74349558353424,0.124035358428955
26.5,-9.06496238708496,1.8245187997818,0.124109663069248
27,-9.03759098052979,1.96929323673248,0.126764461398125
27.5,-9.02579402923584,2.16769170761108,0.132644668221474
28,-9.03184032440186,2.40176510810852,0.142119809985161
28.5,-9.0567045211792,2.64671206474304,0.155138328671455
29,-9.09961795806885,2.8728883266449,0.171222627162933
29.5,-9.1576566696167,3.04903078079224,0.189576864242554
30,-9.22569561004639,3.14659357070923,0.209264844655991
30.5,-9.29673194885254,3.1443395614624,0.229209333658218
31,-9.3626537322998,3.03204774856567,0.248254597187042
31.5,-9.41525459289551,2.81306624412537,0.265158295631409
32,-9.44744968414307,2.50552582740784,0.278648525476456
32.5,-9.45437145233154,2.14145183563232,0.287568211555481
33,-9.4341049194336,1.76325726509094,0.291151374578476
33.5,-9.38792991638184,1.41826498508453,0.289237171411514
34,-9.32001495361328,1.15257549285889,0.282379746437073
34.5,-9.23672962188721,1.005455493927,0.27181002497673
35,-9.14592361450195,1.00452697277069,0.259310066699982
35.5,-9.0562858581543,1.16191172599792,0.247099682688713
36,-8.97685050964355,1.47172439098358,0.237525701522827
36.5,-8.91636657714844,1.90929555892944,0.232728853821754
37,-8.88239192962646,2.43234419822693,0.234250470995903
37.5,-8.88014221191406,2.98450875282288,0.242759540677071
38,-8.91125202178955,3.50129675865173,0.258005887269974
38.5,-8.97297763824463,3.91771674156189,0.279074102640152
39,-9.05808353424072,4.17647647857666,0.30467426776886
39.5,-9.15567016601563,4.23559951782227,0.333287298679352
40,-9.2527904510498,4.07450819015503,0.363077133893967
40.5,-9.3366117477417,3.69784021377564,0.39183247089386
41,-9.39638710021973,3.13594198226929,0.416986525058746
41.5,-9.42492771148682,2.44191360473633,0.435905903577805
42,-9.41941452026367,1.68567740917206,0.446479469537735
42.5,-9.38108062744141,0.946290612220764,0.447525680065155
43,-9.31421375274658,0.304058998823166,0.439039826393127
43.5,-9.22502613067627,-0.167226642370224,0.422239810228348
44,-9.12096405029297,-0.407974541187286,0.399469047784805
44.5,-9.01046562194824,-0.379733383655548,0.373898595571518
45,-8.90293121337891,-7.04184547066689E-02,0.349059462547302
45.5,-8.80853366851807,0.503103017807007,0.328269928693771
46,-8.7375431060791,1.29552054405212,0.314009487628937
46.5,-8.69913005828857,2.23670148849487,0.307579606771469
47,-8.69978046417236,3.23790597915649,0.309122264385223
47.5,-8.74181079864502,4.19995927810669,0.31791689991951
48,-8.82244491577148,5.02282619476318,0.332699686288834
48.5,-8.93364334106445,5.61543703079224,0.351912975311279
49,-9.06297206878662,5.90453672409058,0.374033391475677
