Structure Position, Actual Response
Line A: Structure Position, Actual Response - Global RX (SHIP) [°]
Line B: Structure Position, Actual Response - Global RY (SHIP) [°]
Line C: Structure Position, Actual Response - Global RZ (SHIP) [°]

*Time (s),Line A (°),Line B (°),Line C (°)
0.0,9.30894756317139,4.36043506488204E-03,3.52843024302274E-04
0.5,9.30890464782715,0.033252764493227,6.01631449535489E-03
1,9.30831623077393,0.108533501625061,2.06991527229548E-02
1.5,9.30657863616943,0.204866021871567,0.039945624768734
2,9.30322742462158,0.290898382663727,0.058798972517252
2.5,9.29794025421143,0.336500883102417,7.29138180613518E-02
3,9.29060840606689,0.3196921646595,7.93220400810242E-02
3.5,9.28139686584473,0.231729432940483,7.67997279763222E-02
4,9.27076435089111,0.079228438436985,6.57479763031006E-02
4.5,9.25945949554443,-0.11716465651989,4.77946735918522E-02
5,9.24850082397461,-0.327117681503296,2.53285113722086E-02
5.5,9.23913860321045,-0.516782462596893,1.05060660280287E-03
6,9.23277282714844,-0.655280113220215,-2.24620476365089E-02
6.5,9.23077201843262,-0.720129251480103,-4.30346131324768E-02
7,9.2342529296875,-0.700699031352997,-5.91651611030102E-02
7.5,9.24383544921875,-0.599405109882355,-7.01458677649498E-02
8,9.25940227508545,-0.430725604295731,-7.60246515274048E-02
8.5,9.28003692626953,-0.218349277973175,-7.75372162461281E-02
9,9.30408191680908,9.06086526811123E-03,-7.59661495685577E-02
9.5,9.32938289642334,0.222663834691048,-7.29892179369926E-02
10,9.35364055633545,0.397782802581787,-0.070437490940094
10.5,9.37469863891602,0.516936719417572,-6.99693933129311E-02
11,9.39066982269287,0.571196615695953,-7.27235376834869E-02
11.5,9.39988040924072,0.560000240802765,-7.90822952985764E-02
12,9.4008150100708,0.489940673112869,-0.088690459728241
12.5,9.3922758102417,0.373206079006195,-0.100645057857037
13,9.37381839752197,0.225982382893562,-0.113738030195236
13.5,9.34626579284668,0.066489152610302,-0.126625746488571
14,9.31184387207031,-8.74948054552078E-02,-0.138076826930046
