Structure Position, Actual Response
Line A: Structure Position, Actual Response - Global RX (SHIP) [°]
Line B: Structure Position, Actual Response - Global RY (SHIP) [°]
Line C: Structure Position, Actual Response - Global RZ (SHIP) [°]

*Time (s),Line A (°),Line B (°),Line C (°)
0.0,9.25026321411133,2.29488658905029,0.184112027287483
0.5,9.25042629241943,2.32289457321167,0.189663052558899
1,9.25028991699219,2.39545750617981,0.203970313072205
1.5,9.248854637146,2.48739528656006,0.222515434026718
2,9.2451696395874,2.56780648231506,0.240366071462631
2.5,9.23852252960205,2.6072883605957,0.253250271081924
3,9.22868537902832,2.58484077453613,0.258318215608597
3.5,9.216064453125,2.49288177490234,0.254473119974136
4,9.20171642303467,2.33915615081787,0.242235168814659
4.5,9.1872444152832,2.14512705802918,0.223317831754684
5,9.1745548248291,1.94137048721313,0.200171753764153
5.5,9.16563510894775,1.76130080223084,0.175524637103081
6,9.16225624084473,1.6347177028656,0.151966691017151
6.5,9.1657133102417,1.582515001297,0.131626725196838
7,9.17656517028809,1.61337506771088,0.115956760942936
7.5,9.19446754455566,1.72277402877808,0.105600036680698
8,9.21810150146484,1.89421272277832,0.100419528782368
8.5,9.24528694152832,2.10246801376343,9.95811074972153E-02
9,9.27328109741211,2.31825280189514,0.101680636405945
9.5,9.29921054840088,2.51332902908325,0.104952543973923
10,9.32054901123047,2.6649284362793,0.107484564185143
10.5,9.33542156219482,2.75857734680176,0.107590772211552
11,9.34266662597656,2.78903722763062,0.104169443249702
11.5,9.34163570404053,2.75958371162415,9.69259440898895E-02
12,9.33194351196289,2.6802020072937,8.63433256745338E-02
12.5,9.31344985961914,2.56539225578308,7.34260529279709E-02
13,9.28658103942871,2.43202519416809,5.94486854970455E-02
13.5,9.25271606445313,2.29718089103699,4.57365214824677E-02
14,9.21432971954346,2.17584300041199,0.033508587628603
14.5,9.17475605010986,2.07897186279297,2.36590094864368E-02
15,9.13768196105957,2.01282167434692,1.66530553251505E-02
15.5,9.10657215118408,1.97951650619507,1.23923318460584E-02
16,9.08432102203369,1.97810435295105,1.02434074506164E-02
16.5,9.07305717468262,2.00555801391602,9.10310354083776E-03
17,9.07403087615967,2.05763339996338,7.69594172015786E-03
17.5,9.08756637573242,2.12944722175598,4.80829086154699E-03
18,9.11304187774658,2.21562743186951,-5.14705723617226E-04
18.5,9.14890480041504,2.31008529663086,-8.82966723293066E-03
19,9.19271087646484,2.40558505058289,-2.02469639480114E-02
19.5,9.24118232727051,2.4934675693512,-3.43637578189373E-02
20,9.29030799865723,2.56399440765381,-5.03490678966045E-02
20.5,9.33563041687012,2.60764193534851,-6.71212673187256E-02
21,9.3727502822876,2.61697268486023,-8.35184380412102E-02
21.5,9.39799499511719,2.58803224563599,-9.84789878129959E-02
22,9.40891456604004,2.52074527740479,-0.111162662506104
22.5,9.40455627441406,2.41876745223999,-0.12100912630558
23,9.38538265228272,2.28956246376038,-0.127726376056671
23.5,9.35305500030518,2.1445734500885,-0.131301507353783
24,9.3101692199707,1.99878334999084,-0.132083803415298
24.5,9.26000690460205,1.8694509267807,-0.130757987499237
25,9.20632553100586,1.7741504907608,-0.128277271986008
25.5,9.15317630767822,1.72841799259186,-0.125670731067657
26,9.10469150543213,1.74349617958069,-0.123947441577911
26.5,9.06490707397461,1.82452011108398,-0.12400096654892
27,9.03753566741943,1.96929597854614,-0.126652240753174
27.5,9.02573490142822,2.16769480705261,-0.132520169019699
28,9.03178119659424,2.40176844596863,-0.141979113221169
28.5,9.05664920806885,2.64671492576599,-0.154988095164299
29,9.09956932067871,2.87289047241211,-0.171059086918831
29.5,9.15761566162109,3.04903244972229,-0.189402744174004
30,9.22566890716553,3.14659714698792,-0.209075421094894
30.5,9.29672431945801,3.14433908462524,-0.229008957743645
31,9.36266136169434,3.03204798698425,-0.248044893145561
31.5,9.41527843475342,2.81306552886963,-0.264936923980713
32,9.44748878479004,2.5055239200592,-0.278410255908966
32.5,9.45441722869873,2.14144778251648,-0.287314802408218
33,9.43415641784668,1.76325142383575,-0.29088568687439
33.5,9.38798141479492,1.4182585477829,-0.288955837488174
34,9.32005977630615,1.1525684595108,-0.28208115696907
34.5,9.23676490783691,1.00544738769531,-0.271482735872269
35,9.1459436416626,1.00452125072479,-0.258979350328445
35.5,9.05628967285156,1.16190659999847,-0.246750190854073
36,8.97684001922607,1.47172152996063,-0.23716439306736
36.5,8.91633987426758,1.90929400920868,-0.232356235384941
37,8.88234996795654,2.43234491348267,-0.23386524617672
37.5,8.88008594512939,2.98451018333435,-0.242366522550583
38,8.91118907928467,3.50129890441895,-0.257602900266647
38.5,8.97290992736816,3.91771936416626,-0.278647422790527
39,9.05801677703857,4.17647743225098,-0.30423691868782
39.5,9.15560722351074,4.23559713363647,-0.332836300134659
40,9.25273323059082,4.07450485229492,-0.362604856491089
40.5,9.33656883239746,3.69783806800842,-0.391341388225555
41,9.3963565826416,3.13594031333923,-0.416470259428024
41.5,9.4249095916748,2.44191217422485,-0.435365736484528
42,9.4194164276123,1.68567705154419,-0.44591224193573
42.5,9.38109970092773,0.946291983127594,-0.446934401988983
43,9.31424236297608,0.304062306880951,-0.438427954912186
43.5,9.22505664825439,-0.167221516370773,-0.421602994203568
44,9.12099838256836,-0.407968997955322,-0.398808568716049
44.5,9.01049709320068,-0.379728853702545,-0.373209744691849
45,8.90296173095703,-7.04144984483719E-02,-0.34834885597229
45.5,8.80856132507324,0.503105461597443,-0.327539265155792
46,8.73756885528564,1.29552066326141,-0.313255816698074
46.5,8.69914627075195,2.23669862747192,-0.30680787563324
