Structure Position, Actual Response
Line A: Structure Position, Actual Response - Global RX (SHIP) [°]
Line B: Structure Position, Actual Response - Global RY (SHIP) [°]
Line C: Structure Position, Actual Response - Global RZ (SHIP) [°]

*Time (s),Line A (°),Line B (°),Line C (°)
0.0,-9.30894565582275,4.36102645471692E-03,-3.44873580615968E-04
0.5,-9.30890369415283,3.32530997693539E-02,-6.00974773988128E-03
1,-9.30831432342529,0.108532726764679,-2.06982512027025E-02
1.5,-9.30657863616943,0.204865247011185,-3.99437062442303E-02
2,-9.30322074890137,0.290896505117416,-5.88026270270348E-02
2.5,-9.2979326248169,0.33650004863739,-7.29151964187622E-02
3,-9.29060173034668,0.319691985845566,-7.93287232518196E-02
3.5,-9.28139591217041,0.231728762388229,-0.076809823513031
4,-9.2707691192627,7.92281255125999E-02,-0.065758965909481
4.5,-9.25946998596191,-0.117165334522724,-4.78125289082527E-02
5,-9.24851417541504,-0.327118009328842,-2.53450889140368E-02
5.5,-9.23915672302246,-0.516782343387604,-1.06487679295242E-03
6,-9.23278903961182,-0.655280113220215,2.24464032799006E-02
6.5,-9.23078918457031,-0.720129549503326,4.30164709687233E-02
7,-9.2342700958252,-0.700701296329498,0.059147272258997
7.5,-9.24384784698486,-0.599407076835632,7.01268538832664E-02
8,-9.25940895080566,-0.430726885795593,7.59965628385544E-02
8.5,-9.28003978729248,-0.218349978327751,7.75028094649315E-02
9,-9.30408763885498,9.06094629317522E-03,7.59248211979866E-02
9.5,-9.32938480377197,0.222664937376976,7.29495212435722E-02
10,-9.35364151000977,0.397784739732742,0.07040074467659
10.5,-9.37470149993896,0.516939043998718,6.99324309825897E-02
11,-9.39067935943604,0.571199119091034,7.26904943585396E-02
11.5,-9.39989185333252,0.560003340244293,0.079057864844799
12,-9.40082836151123,0.48994442820549,8.86722952127457E-02
12.5,-9.39228534698486,0.373210251331329,0.100629568099976
13,-9.37382793426514,0.225986793637276,0.113727331161499
13.5,-9.34627342224121,6.64925426244736E-02,0.126612678170204
